FULL_NAME,DRAFT_YEAR,RET_YEAR,SP,OLDHEAD,MIDDLE,MODERN,GP,PTS,REB,AST,STL,BLK,PPG,RPG,APG,SPG,BPG,FG_PCT,FG3_PCT,FT_PCT,RINGS,FMVP,MVP,ALL_NBA,ALL_STAR,ALL_DEF,ROTY,DPOY,HOF
Filip Petrusev,2023.0,2023.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boban Marjanovic,2015.0,2023.0,9.0,0.0,0.0,1.0,331.0,1835.0,1189.0,154.0,60.0,96.0,5.5,3.6,0.5,0.2,0.3,0.578,0.238,0.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seth Curry,2013.0,2023.0,11.0,0.0,0.0,1.0,482.0,5032.0,1011.0,975.0,332.0,66.0,10.4,2.1,2.0,0.7,0.1,0.471,0.431,0.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikal Bridges,2018.0,2023.0,6.0,0.0,0.0,1.0,474.0,6760.0,1948.0,1211.0,575.0,274.0,14.3,4.1,2.6,1.2,0.6,0.48,0.375,0.846,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Emoni Bates,2023.0,2023.0,1.0,0.0,0.0,1.0,15.0,41.0,14.0,10.0,1.0,2.0,2.7,0.9,0.7,0.1,0.1,0.306,0.303,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taurean Prince,2016.0,2023.0,8.0,0.0,0.0,1.0,502.0,5089.0,1804.0,850.0,399.0,209.0,10.1,3.6,1.7,0.8,0.4,0.424,0.376,0.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nassir Little,2019.0,2023.0,5.0,0.0,0.0,1.0,237.0,1313.0,688.0,170.0,73.0,93.0,5.5,2.9,0.7,0.3,0.4,0.452,0.33,0.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keon Ellis,2022.0,2023.0,2.0,0.0,0.0,1.0,73.0,334.0,132.0,91.0,56.0,30.0,4.6,1.8,1.2,0.8,0.4,0.46,0.422,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Green,2021.0,2023.0,3.0,0.0,0.0,1.0,225.0,4450.0,933.0,748.0,169.0,64.0,19.8,4.1,3.3,0.8,0.3,0.421,0.337,0.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dillon Brooks,2017.0,2023.0,7.0,0.0,0.0,1.0,417.0,5917.0,1319.0,854.0,389.0,108.0,14.2,3.2,2.0,0.9,0.3,0.418,0.345,0.802,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
JaVale McGee,2008.0,2023.0,16.0,0.0,0.0,1.0,909.0,6907.0,4577.0,386.0,345.0,1258.0,7.6,5.0,0.4,0.4,1.4,0.578,0.192,0.604,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rayan Rupert,2023.0,2023.0,1.0,0.0,0.0,1.0,39.0,155.0,92.0,62.0,12.0,3.0,4.0,2.4,1.6,0.3,0.1,0.335,0.359,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adama Sanogo,2023.0,2023.0,1.0,0.0,0.0,1.0,9.0,36.0,36.0,0.0,1.0,0.0,4.0,4.0,0.0,0.1,0.0,0.519,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Roddy,2022.0,2023.0,2.0,0.0,0.0,1.0,135.0,891.0,404.0,139.0,56.0,30.0,6.6,3.0,1.0,0.4,0.2,0.416,0.301,0.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henri Drell,2023.0,2023.0,1.0,0.0,0.0,1.0,4.0,11.0,4.0,4.0,2.0,1.0,2.8,1.0,1.0,0.5,0.2,0.4,0.333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tristan Vukcevic,2023.0,2023.0,1.0,0.0,0.0,1.0,10.0,85.0,36.0,13.0,5.0,7.0,8.5,3.6,1.3,0.5,0.7,0.433,0.278,0.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Morris Sr.,2011.0,2023.0,13.0,0.0,0.0,1.0,832.0,9965.0,3690.0,1235.0,545.0,238.0,12.0,4.4,1.5,0.7,0.3,0.435,0.377,0.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Goodwin,2021.0,2023.0,3.0,0.0,0.0,1.0,121.0,775.0,459.0,323.0,106.0,44.0,6.4,3.8,2.7,0.9,0.4,0.405,0.308,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myles Turner,2015.0,2023.0,9.0,0.0,0.0,1.0,570.0,7911.0,3878.0,702.0,386.0,1268.0,13.9,6.8,1.2,0.7,2.2,0.502,0.354,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Juzang,2022.0,2023.0,2.0,0.0,0.0,1.0,38.0,231.0,75.0,31.0,8.0,5.0,6.1,2.0,0.8,0.2,0.1,0.402,0.336,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaden Ivey,2022.0,2023.0,2.0,0.0,0.0,1.0,151.0,2389.0,552.0,683.0,118.0,58.0,15.8,3.7,4.5,0.8,0.4,0.422,0.339,0.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonas Valanciunas,2012.0,2023.0,12.0,0.0,0.0,1.0,856.0,11436.0,8096.0,1137.0,342.0,822.0,13.4,9.5,1.3,0.4,1.0,0.561,0.348,0.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Thomas,2021.0,2023.0,3.0,0.0,0.0,1.0,190.0,2656.0,470.0,348.0,98.0,31.0,14.0,2.5,1.8,0.5,0.2,0.44,0.344,0.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaden McDaniels,2020.0,2023.0,4.0,0.0,0.0,1.0,284.0,2784.0,1056.0,399.0,224.0,232.0,9.8,3.7,1.4,0.8,0.8,0.484,0.354,0.729,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Amen Thompson,2023.0,2023.0,1.0,0.0,0.0,1.0,62.0,592.0,409.0,163.0,78.0,38.0,9.5,6.6,2.6,1.3,0.6,0.536,0.138,0.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landry Shamet,2018.0,2023.0,6.0,0.0,0.0,1.0,348.0,3027.0,601.0,570.0,167.0,54.0,8.7,1.7,1.6,0.5,0.2,0.408,0.384,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Anderson,2014.0,2023.0,10.0,0.0,0.0,1.0,653.0,4519.0,2861.0,1833.0,659.0,408.0,6.9,4.4,2.8,1.0,0.6,0.479,0.338,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terance Mann,2019.0,2023.0,5.0,0.0,0.0,1.0,345.0,2814.0,1252.0,669.0,180.0,76.0,8.2,3.6,1.9,0.5,0.2,0.503,0.373,0.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malachi Flynn,2020.0,2023.0,4.0,0.0,0.0,1.0,213.0,1168.0,369.0,407.0,117.0,23.0,5.5,1.7,1.9,0.5,0.1,0.387,0.334,0.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omer Yurtseven,2021.0,2023.0,3.0,0.0,0.0,1.0,113.0,561.0,525.0,80.0,27.0,40.0,5.0,4.6,0.7,0.2,0.4,0.535,0.214,0.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lonzo Ball,2017.0,2021.0,5.0,0.0,0.0,1.0,252.0,2995.0,1447.0,1563.0,391.0,162.0,11.9,5.7,6.2,1.6,0.6,0.4,0.364,0.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Davis,2012.0,2023.0,12.0,0.0,0.0,1.0,736.0,17717.0,7825.0,1828.0,974.0,1705.0,24.1,10.6,2.5,1.3,2.3,0.523,0.297,0.795,1.0,0.0,0.0,5.0,9.0,5.0,0.0,0.0,0.0
Tari Eason,2022.0,2023.0,2.0,0.0,0.0,1.0,104.0,975.0,649.0,115.0,127.0,66.0,9.4,6.2,1.1,1.2,0.6,0.452,0.347,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jahmi'us Ramsey,2020.0,2023.0,4.0,0.0,0.0,1.0,39.0,147.0,45.0,21.0,12.0,2.0,3.8,1.2,0.5,0.3,0.1,0.416,0.271,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kris Murray,2023.0,2023.0,1.0,0.0,0.0,1.0,62.0,376.0,224.0,80.0,53.0,21.0,6.1,3.6,1.3,0.9,0.3,0.396,0.268,0.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eugene Omoruyi,2021.0,2023.0,3.0,0.0,0.0,1.0,87.0,492.0,203.0,65.0,55.0,8.0,5.7,2.3,0.7,0.6,0.1,0.46,0.285,0.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deandre Ayton,2018.0,2023.0,6.0,0.0,0.0,1.0,358.0,5966.0,3761.0,585.0,261.0,341.0,16.7,10.5,1.6,0.7,1.0,0.592,0.244,0.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Williams,2022.0,2023.0,2.0,0.0,0.0,1.0,62.0,629.0,488.0,40.0,44.0,65.0,10.1,7.9,0.6,0.7,1.0,0.642,0.0,0.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Barnes,2012.0,2023.0,12.0,0.0,0.0,1.0,911.0,12796.0,4432.0,1603.0,633.0,164.0,14.0,4.9,1.8,0.7,0.2,0.457,0.379,0.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keyontae Johnson,2023.0,2023.0,1.0,0.0,0.0,1.0,9.0,11.0,10.0,4.0,1.0,0.0,1.2,1.1,0.4,0.1,0.0,0.312,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De'Andre Hunter,2019.0,2023.0,5.0,0.0,0.0,1.0,263.0,3751.0,1078.0,405.0,174.0,84.0,14.3,4.1,1.5,0.7,0.3,0.447,0.363,0.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giannis Antetokounmpo,2013.0,2023.0,11.0,0.0,0.0,1.0,792.0,18502.0,7732.0,3855.0,903.0,986.0,23.4,9.8,4.9,1.1,1.2,0.545,0.286,0.702,1.0,1.0,2.0,8.0,8.0,5.0,0.0,1.0,0.0
Ivica Zubac,2016.0,2023.0,8.0,0.0,0.0,1.0,504.0,4613.0,3732.0,580.0,163.0,485.0,9.2,7.4,1.2,0.3,1.0,0.612,0.083,0.739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotty Pippen Jr.,2022.0,2023.0,2.0,0.0,0.0,1.0,27.0,285.0,71.0,100.0,38.0,11.0,10.6,2.6,3.7,1.4,0.4,0.484,0.413,0.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Herro,2019.0,2023.0,5.0,0.0,0.0,1.0,284.0,5147.0,1403.0,1036.0,194.0,53.0,18.1,4.9,3.6,0.7,0.2,0.44,0.385,0.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikola Vucevic,2011.0,2023.0,13.0,0.0,0.0,1.0,899.0,15370.0,9435.0,2556.0,760.0,792.0,17.1,10.5,2.8,0.8,0.9,0.495,0.341,0.768,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Michael Porter Jr.,2019.0,2023.0,5.0,0.0,0.0,1.0,268.0,4199.0,1669.0,320.0,156.0,163.0,15.7,6.2,1.2,0.6,0.6,0.499,0.41,0.807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
