FULL_NAME,DRAFT_YEAR,RET_YEAR,SP,OLDHEAD,MIDDLE,MODERN,GP,PTS,REB,AST,STL,BLK,PPG,RPG,APG,SPG,BPG,FG_PCT,FG3_PCT,FT_PCT,RINGS,FMVP,MVP,ALL_NBA,ALL_STAR,ALL_DEF,ROTY,DPOY,HOF
Stanley Johnson,2015,2022,8,0,0,1,449,2806,1404.0,679,383,106,6.2,3.1,1.5,0.9,0.2,0.391,0.305,0.748,0,0,0,0,0,0,0,0,0
Chris Wright,2011,2013,3,0,0,1,32,118,65.0,9,14,18,3.7,2.0,0.3,0.4,0.6,0.55,0.0,0.652,0,0,0,0,0,0,0,0,0
Chris King,1993,1998,6,0,1,0,103,693,311.0,116,74,34,6.7,3.0,1.1,0.7,0.3,0.423,0.383,0.633,0,0,0,0,0,0,0,0,0
Paul Ruffner,1970,1974,5,1,0,0,52,109,49.0,9,0,0,2.1,0.9,0.2,0.0,0.0,0.44,0.0,0.5,0,0,0,0,0,0,0,0,0
Mike Glenn,1977,1986,10,1,0,0,593,4496,710.0,952,0,0,7.6,1.2,1.6,0.0,0.0,0.542,0.0,0.855,0,0,0,0,0,0,0,0,0
Ron Sobie,1956,1959,4,1,0,0,192,1619,791.0,353,0,0,8.4,4.1,1.8,0.0,0.0,0.379,0.0,0.808,0,0,0,0,0,0,0,0,0
Igor Rakocevic,2002,2002,1,0,0,1,42,78,17.0,33,4,0,1.9,0.4,0.8,0.1,0.0,0.379,0.417,0.806,0,0,0,0,0,0,0,0,0
Pat Garrity,1998,2007,10,0,1,0,552,4017,1457.0,443,246,104,7.3,2.6,0.8,0.4,0.2,0.417,0.398,0.806,0,0,0,0,0,0,0,0,0
Alex Poythress,2016,2018,3,0,0,1,52,197,122.0,24,10,13,3.8,2.3,0.5,0.2,0.2,0.472,0.358,0.667,0,0,0,0,0,0,0,0,0
Greg Jackson,1974,1974,1,1,0,0,49,182,69.0,96,0,0,3.7,1.4,2.0,0.0,0.0,0.415,0.0,0.581,0,0,0,0,0,0,0,0,0
Laron Profit,1999,2005,7,0,1,0,135,441,209.0,166,70,25,3.3,1.5,1.2,0.5,0.2,0.419,0.236,0.712,0,0,0,0,0,0,0,0,0
Khyri Thomas,2018,2020,3,0,0,1,39,160,39.0,36,19,11,4.1,1.0,0.9,0.5,0.3,0.388,0.316,0.75,0,0,0,0,0,0,0,0,0
Tom Kelly,1948,1948,1,1,0,0,27,191,,38,0,0,7.1,0.0,1.4,0.0,0.0,0.335,0.0,0.616,0,0,0,0,0,0,0,0,0
Charles Claxton,1995,1995,1,0,1,0,3,2,2.0,0,0,1,0.7,0.7,0.0,0.0,0.3,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0
Sun Yue,2008,2008,1,0,0,1,10,6,0.0,2,1,1,0.6,0.0,0.2,0.1,0.1,0.273,0.0,0.0,0,0,0,0,0,0,0,0,0
Salah Mejri,2015,2018,4,0,0,1,204,693,808.0,94,72,190,3.4,4.0,0.5,0.4,0.9,0.603,0.293,0.59,0,0,0,0,0,0,0,0,0
Terry Driscoll,1970,1974,5,1,0,0,244,1015,1026.0,189,0,0,4.2,4.2,0.8,0.0,0.0,0.425,0.0,0.69,0,0,0,0,0,0,0,0,0
Linton Johnson,2003,2008,6,0,0,1,151,582,493.0,65,84,63,3.9,3.3,0.4,0.6,0.4,0.416,0.305,0.699,0,0,0,0,0,0,0,0,0
Desmond Penigar,2003,2003,1,0,0,1,10,32,24.0,3,2,2,3.2,2.4,0.3,0.2,0.2,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0
Melvin Frazier Jr.,2018,2021,4,0,0,1,32,87,28.0,5,11,2,2.7,0.9,0.2,0.3,0.1,0.34,0.209,0.533,0,0,0,0,0,0,0,0,0
Willie Wise,1976,1977,2,1,0,0,77,617,256.0,142,0,0,8.0,3.3,1.8,0.0,0.0,0.459,0.0,0.644,0,0,0,0,0,0,0,0,0
Justin Reed,2004,2006,3,0,0,1,136,472,186.0,68,31,19,3.5,1.4,0.5,0.2,0.1,0.404,0.0,0.752,0,0,0,0,0,0,0,0,0
Buck Williams,1981,1997,17,0,1,0,1307,16784,13017.0,1646,1080,1100,12.8,10.0,1.3,0.8,0.8,0.549,0.167,0.664,0,0,0,1,3,4,1,0,0
Zach Randolph,2001,2017,17,0,0,1,1116,18578,10208.0,2049,834,301,16.6,9.1,1.8,0.7,0.3,0.471,0.273,0.764,0,0,0,1,2,0,0,0,0
Lawrence Moten,1995,1997,3,0,1,0,119,747,181.0,182,77,32,6.3,1.5,1.5,0.6,0.3,0.408,0.299,0.652,0,0,0,0,0,0,0,0,0
John Coker,1995,2000,6,0,1,0,25,41,29.0,3,2,3,1.6,1.2,0.1,0.1,0.1,0.409,0.0,0.833,0,0,0,0,0,0,0,0,0
Michael Sweetney,2003,2006,4,0,0,1,233,1516,1045.0,145,73,107,6.5,4.5,0.6,0.3,0.5,0.485,0.0,0.689,0,0,0,0,0,0,0,0,0
Jake Ford,1970,1971,2,1,0,0,31,126,20.0,35,0,0,4.1,0.6,1.1,0.0,0.0,0.462,0.0,0.764,0,0,0,0,0,0,0,0,0
Bob Carney,1954,1954,1,1,0,0,19,69,45.0,16,0,0,3.6,2.4,0.8,0.0,0.0,0.375,0.0,0.525,0,0,0,0,0,0,0,0,0
Terry Davis,1989,2000,12,0,1,0,480,3061,2887.0,273,183,149,6.4,6.0,0.6,0.4,0.3,0.472,0.158,0.605,0,0,0,0,0,0,0,0,0
